index,sentence1,sentence2,label
16,Guardé la tarta en la nevera. Tenía mucha mantequilla.,La tarta tenía mucha mantequilla.,1
17,"Lionel tiene como prisionero a un científico, el doctor Vardi, que ha inventado un dispositivo que convierte a los animales en invisibles; Lionel tiene previsto utilizarlo en Geoffrey y enviarle a robar material nuclear de un almacén del ejército.",Lionel tiene previsto utilizarlo en Geoffrey y enviar a Lionel a robar material nuclear de un almacén del ejército.,0
18,Los zorros entran de noche y atacan a los pollos. Se han vuelto muy atrevidos.,Los zorros se han vuelto muy atrevidos.,1
19,"Sam acercó un asiento al piano, pero estaba roto, por lo que tuvo que quedarse de pie.","El piano estaba roto, por lo que tuvo que quedarse de pie.",0
20,"Jane llamó a la puerta de Susan, pero no obtuvo respuesta.",Susan no obtuvo respuesta.,0
21,"Bob jugaba a cartas con Adam e iba ganando. Si Adam no hubiera tenido un repentino golpe de suerte, él habría ganado.",Adam habría ganado.,0
22,Coloqué el ala de mariposa sobre la mesa y se rompió.,La mesa se rompió.,0
23,"Paul intentó llamar a George por teléfono, pero no obtuvo respuesta.",Paul no obtuvo respuesta.,1
24,¡Mira! Hay un tiburón nadando justo debajo del pato. Mejor que se apresure hasta un lugar seguro.,Mejor que el tiburón se apresure hasta un lugar seguro.,0
25,La copa no cabe en la maleta marrón porque es demasiado grande.,La maleta es demasiado grande.,0
26,"El tío de Joe todavía puede ganarle jugando a tenis, aunque es 30 años mayor.",Joe es 30 años mayor.,0
27,La gran bola penetró a través de la mesa porque era de acero.,La gran bola era de acero.,1
28,"Sam se rompió las dos piernas y ahora camina con muletas. Pero dentro de un mes, más o menos, deberían estar mejor.",Las muletas deberían estar mejor.,0
29,"Grant cultivó sus garbanzos con gran esfuerzo para que él y su familia pudieran comer en invierno. Su amigo Henry le dejó guardarlos en su granero para que se secaran. Después, él y Tatyana los desgranarían y los cocinarían para sus comidas de los domingos.",Su amigo Henry le dejó guardar a Grant y a su familia en su granero para que se secaran.,0
30,Jane llamó a la puerta y Susan respondió. La invitó a salir.,Jane la invitó a salir.,1
31,Dan tenía que impedir que Bill siguiera jugando con el pájaro herido. Es muy cruel.,Bill es muy cruel.,1
32,Tom dijo “jaque” a Ralph cuando capturó su alfil.,Tom dijo “jaque” a Ralph cuando capturó el alfil de Ralph.,1
33,"Salí a buscar un poco de jabón, más para pasar el tiempo que porque lo necesitara.","Salí a buscar un poco de jabón, más para pasar el tiempo que porque necesitara jabón.",1
34,Joe pagó al detective cuando hubo recibido el informe final sobre el caso.,Joe recibió el informe final sobre el caso.,1
35,"Queríamos colocar ejemplares de nuestro boletín en todos los asientos de la sala, pero había demasiados.",Había demasiados ejemplares del boletín.,0
36,Joe ha vendido su vieja casa y ha comprado una nueva a pocos kilómetros de distancia. Se va a mudar a ella el jueves.,Se va a mudar a la nueva casa el jueves.,1
37,"Hasta ahora Larry siempre había ayudado a su padre en su trabajo. Pero ahora no podía ayudarle, porque su padre decía que el jefe de la compañía ferroviaria no quería que hubiera nadie más que él en la oficina.",Ahora no podía ayudar a su padre.,1
38,"La mesa estaba llena de comida, y sobre la estera, junto a ella, había vasijas, cestas y una lechera.","Junto a la mesa había vasijas, cestas y una lechera.",1
39,Jim consolaba a Kevin porque estaba muy enfadado.,Kevin estaba muy enfadado.,1
40,"Jackson estaba muy influido por Arnold, aunque vivió dos siglos antes.",Arnold vivió dos siglos antes.,1
41,"Hay un pilar entre el escenario y yo, y no puedo ver qué hay detrás.",No puedo ver el escenario.,0
42,Los arqueólogos han llegado a la conclusión de que había humanos en Laputa hace 20 000 años. Cazaban ciervos en las orillas de los ríos.,Los humanos prehistóricos cazaban ciervos en las orillas de los ríos.,1
43,"Sam y Amy están muy enamorados, pero a los padres de Amy no les gusta, porque son unos esnobs.",Los padres de Amy son unos esnobs.,1
44,Bill pasó la bandeja medio vacía a John porque tenía hambre.,John tenía hambre.,1
45,Sara tomó prestado un libro de la biblioteca porque lo necesita para un artículo en el que está trabajando. Lo escribe cuando llega a casa del trabajo.,Escribe el libro cuando llega a casa del trabajo.,0
46,"John prometió a Bill que se iría, por eso se marchó al cabo de una hora.",Bill se marchó.,0
47,Sara tomó prestado un libro de la biblioteca porque lo necesita para un artículo en el que está trabajando. Lo lee cuando llega a casa del trabajo.,Lee el artículo cuando llega a casa del trabajo.,0
48,Mark oyó las pisadas de Steve bajando la escalera. La puerta de la tienda se cerró tras él. Corrió a mirar por la ventana.,La puerta de la tienda se cerró tras Steve.,1
49,"Fred es el único hombre vivo que todavía recuerda a mi padre cuando era niño. Cuando Fred vio por primera vez a mi padre, tenía doce años.","Cuando Fred vio por primera vez a mi padre, mi padre tenía doce años.",0
50,"Tatyana sabía que a su abuela siempre le gustaba servir mucha comida a sus invitados. Ahora Tatyana observaba como su abuela abrazaba a la diminuta madre de Tatyana con sus brazos enjutos y después la llevó a la mesa, le quitó el chal de los hombros, y la invitó a sentarse en el puesto de honor, diciendo simplemente: “Hay mucho”",La abuela abrazó a la diminuta madre de Tatyana con sus brazos enjutos y después llevó a la abuela a la mesa.,0
51,Fred miraba la televisión mientras George salía a comprar comida. Al cabo de una hora volvió.,George volvió.,1
52,"Lily habló a Donna, e interrumpió su concentración.","Lily habló a Donna, e interrumpió la concentración de Donna.",1
53,"Aunque corrían más o menos a la misma velocidad, Sue ganó a Sally porque ella había empezado muy mal.",Sue había empezado muy mal.,0
54,Madonna despidió a su entrenadora porque no soportaba a su novio.,No soportaba al novio de Madonna.,0
55,"No puedo cortar esta rama con el hacha, es demasiado pequeña.",El hacha es demasiado pequeña.,1
56,Madonna despidió a su entrenadora porque se acostaba con su novio.,Ella se acostaba con el novio de Madonna.,1
57,"Vi a Jim gritando a un tipo con uniforme militar y una gran barba roja. No sé por qué, pero parecía muy triste.","No sé por qué iba con uniforme militar, pero parecía muy triste.",0
58,"Alice intentó con todas sus fuerzas evitar que su hija hablara en la fiesta, y nos preguntábamos por qué se comportaba de forma tan extraña.",La hija de Alice se comportaba de forma extraña.,0
59,"Jane llamó a la puerta de Susan, pero no respondió.",Jane no respondió.,0
60,Los políticos de Washington no pueden conocer a los colonos y por eso deben redactar normas para regularlos.,Los políticos deben redactar normas para regularlos.,1
61,"En varias ocasiones Henry había estado presente en las entrevistas que su padre había mantenido con destacados detectives que solicitaban su ayuda para resolver misterios sorprendentes, y esas ocasiones fueron días señalados para él.",Estas ocasiones fueron días señalados para Henry.,1
62,"Sam acercó un asiento al piano, pero estaba roto, por lo que tuvo que quedarse de pie.","El asiento estaba roto, por lo que tuvo que quedarse de pie.",1
63,"Como llovía, puse el periódico sobre mi mochila para que no se mojara.",Puse el periódico sobre mi mochila para que la mochila no se mojara.,1
64,Los políticos de Washington no pueden conocer a los colonos y por eso deben redactar normas para regularlos.,Deben redactar normas para regular a los políticos.,0
65,A Anna la prueba le salió mucho mejor que a su buena amiga Lucy porque había estudiado mucho.,Anna había estudiado mucho.,1
66,"Mark le pisaba los talones al Sr. Singer. Oyó cómo llamaba al capitán, y le prometía, en la jerga con la que todo el mundo hablaba aquella noche, que en el barco nada resultaría dañado, excepto la munición, pero el capitán y su tripulación prefirieron quedarse en la cabina hasta que finalizara el trabajo.",El Sr. Singer oyó cómo llamaba al capitán.,0
67,Fred era el único hombre vivo que recordaba a mi bisabuelo. Era un hombre extraordinario.,Mi bisabuelo era un hombre extraordinario.,1
68,No pude coger el frasco del estante porque estaba demasiado alto.,El estante estaba demasiado alto.,1
69,"Nadie entra en Facebook para estar triste y solo. Pero un nuevo estudio del psicólogo George Lincoln, de la Universidad de Wisconsin, indica que así es exactamente como nos hace sentir.",Así es exactamente como el estudio nos hace sentir.,0
70,Bob pagó la formación universitaria de Charlie. Es muy generoso.,Bob es muy generoso.,1
71,"John prometió a Bill que se iría, por eso se marchó al cabo de una hora.",John se marchó.,1
72,Frank estaba enfadado con Tom porque la tostadora que le había vendido no funcionaba.,La tostadora que Frank le había vendido no funcionaba.,0
73,"Igual de espectacular es C.K. Dexter Haven, un atractivo joven pálido, que sostiene un bastón de jade, con un caniche dormido a sus pies.","Igual de espectacular es C.K. Dexter Haven, un atractivo joven pálido, que sostiene un bastón de jade, con un caniche dormido a los pies de Haven.",1
74,Joe ha vendido su vieja casa y ha comprado una nueva a pocos kilómetros de distancia. Se va a marchar de ella el jueves.,Se va a marchar de su casa el jueves.,1
75,Mark oyó las pisadas de Steve bajando la escalera. La puerta de la tienda se cerró tras él. Corrió a mirar por la ventana.,La puerta de la tienda se cerró tras Mark.,0
76,"No es fácil dejar la misma distancia entre un ojal y otro, y es muy difícil cortarlos todos exactamente con el largo correcto. El más mínimo desvío del punzón hará que un ojal sea demasiado grande, y un solo hilo sin cortar lo hará demasiado corto.",Y un solo hilo sin cortar hará que el largo correcto sea demasiado corto.,0
77,Billy lloraba porque Toby no quería aceptar su juguete.,Billy lloraba porque Toby no quería aceptar el juguete de Toby.,0
78,"Mientras Ollie subía con Tommy a cuestas la larga escalera de caracol, sus piernas colgaban.",Las piernas de Ollie colgaban.,0
79,"Sam acercó un asiento al piano, pero estaba roto, por lo que tuvo que cantar en vez de tocar.","El asiento estaba roto, por lo que tuvo que cantar en vez de tocar.",0
80,El pez se comió al gusano. Estaba hambriento.,El gusano estaba hambriento.,0
81,"Los periodistas entrevistaron a los protagonistas de la nueva película. Eran muy amables, por lo que la entrevista duró mucho tiempo.","Los periodistas eran muy amables, por lo que la entrevista duró mucho tiempo.",0
82,La copa no cabe en la maleta marrón porque es demasiado pequeña.,La copa es demasiado pequeña.,0
83,Thomson visitó la tumba de Cooper en 1765. Hasta entonces había estado viajando durante cinco años.,Cooper había estado viajando durante cinco años.,0
84,"Alice limpiaba el polvo del salón e intentaba encontrar el botón que su madre había perdido. Hoy no tenía tiempo para mirar las fotos antiguas de su álbum favorito. Hoy tenía que buscar un botón, por lo que dejó el álbum sobre un sillón sin ni siquiera abrirlo.",Dejó el álbum sobre una sillón sin ni siquiera abrir el salón.,0
85,Bill pasó la bandeja medio vacía a John porque estaba lleno.,Bill estaba lleno.,1
86,Bill pasó la bandeja medio vacía a John porque estaba lleno.,John estaba lleno.,0
87,Los zorros entran de noche y atacan a los pollos. Tendré que matarlos.,Tendré que matar a los zorros.,1
88,"El tío de Joe todavía puede ganarle jugando a tenis, aunque es 30 años más joven.",Joe es 30 años más joven.,1
89,Emma no pasó la pelota a Janie aunque ella vio que estaba abierta.,Ella vio que Janie estaba abierta.,1
90,Bill pasó la videoconsola a John porque su turno había terminado.,El turno de Bill había terminado.,1
91,"Ann preguntó a Mary a qué hora cerraba la librería, porque lo había olvidado.",Ann lo había olvidado.,1
92,"Los padres de Pam llegaron a casa y la encontraron en la cama con su novio, Paul. Se enfadaron mucho.",Los padres de Pam se enfadaron mucho.,1
93,"Esta mañana, Joey ha construido un castillo de arena en la playa y ha puesto un estandarte en la torre más alta, pero por la tarde la marea lo ha derribado.",Por la tarde la marea ha derribado el estandarte.,0
94,El hombre no pudo levantar a su hijo porque estaba muy débil.,El hombre estaba muy débil.,1
95,El cliente entró en el banco y apuñaló a uno de los cajeros. Lo llevaron al hospital inmediatamente.,Llevaron al cliente al hospital inmediatamente.,0
96,"Dado que Chester dependía de su tío Vernon, no podía casarse sin su aprobación.",No podía casarse sin la aprobación de Chester.,0
97,Mamá entró y se sentó al lado de Alice. Le acarició el cabello suavemente y dejó que la niña llorara.,Mamá le acarició el cabello y dejó que la niña llorara.,1
98,Emma no pasó la pelota a Janie aunque vio que estaba abierta.,Emma vio que ella estaba abierta.,1
99,"Mark solo podía pensar en Blaze, su caballo blanco. Temía que los mozos de las caballerizas de Burlington Stables se metieran con él y le acosaran porque era tímido, por eso asumió él mismo la alimentación y el cuidado del animal.",Mark temía que los mozos de las caballerizas de Burlington Stables se metieran con él y le acosaran.,1
100,"Si se asomaba desde la cama de arriba, Tatyana podía ver a su madre cómodamente. Cuán pequeña, estirada y rígida estaba en la cama de abajo. Tenía los ojos cerrados, pero Tatyana no estaba segura de que durmiera.",Tatyana no estaba segura de que su madre durmiera.,1
101,James pidió un favor a Robert pero se lo negó.,Se lo negó a Robert.,0
102,"No puedo cortar esta rama con el hacha, es demasiado gruesa.",El hacha es demasiado gruesa.,0
103,Bob se desplomó en la acera. Pronto vio que Carl venía a ayudar. Estaba muy enfermo.,Bob estaba muy enfermo.,1
104,Emma no pasó la pelota a Janie aunque vio que estaba abierta.,Janie vio que estaba abierta.,0
105,Tom llevó a Ralph en coche a la escuela para que no tuviera que conducir solo.,Para que Tom no tuviera que conducir solo.,1
106,El dibujo de Sam estaba colgado justo encima del de Tina y parecía mucho mejor con otro debajo.,El dibujo de Sam parecía mucho mejor con otro debajo.,1
107,"Aunque corrían más o menos a la misma velocidad, Sue ganó a Sally porque ella había empezado mucho mejor.",Sue había empezado mucho mejor.,1
108,Grace estaba contenta de cambiar su sudadera por mi chaqueta. Cree que no le queda bien.,La sudadera no le queda bien.,1
109,Bob pagó la formación universitaria de Charlie. Está muy agradecido.,Charlie está muy agradecido.,1
110,Grace estaba contenta de cambiar su sudadera por mi chaqueta. Cree que le queda muy bien.,La sudadera le queda muy bien.,0
111,"Cada día después de comer el Sr. Schmidt echaba una larga siesta. Mark le dejaba dormir durante una hora y después lo despertaba, lo reñía y le obligaba a trabajar. Necesitaba conseguir que acabara su trabajo, porque era muy bonito.",El trabajo del Sr. Schmidt era muy bonito.,1
112,El hombre llevó al chico sobre sus hombros.,El hombre llevó al chico sobre los hombros del hombre.,1
113,"Fred y Alice llevaban abrigos muy gruesos, pero no estaban preparados para el frío de Alaska.",Los abrigos no estaban preparados para el frío de Alaska.,0
114,"En julio, Kamchatka declaró la guerra a Yakutsk. Como el ejército de Yakutsk estaba mucho mejor equipado y era diez veces mayor, fue derrotado en pocas semanas.",Los de Yakutsk fueron derrotados en pocas semanas.,0
115,"Jackson estaba muy influido por Arnold, aunque vivió dos siglos antes.",Jackson vivió dos siglos antes.,0
116,"El camino hasta el lago estaba cortado, por lo que no pudimos cogerlo.",No pudimos usar el lago.,0
117,Sara tomó prestado un libro de la biblioteca porque lo necesita para un artículo en el que está trabajando. Lo lee cuando llega a casa del trabajo.,Lee el libro cuando llega a casa del trabajo.,1
118,El cliente entró en el banco y apuñaló a uno de los cajeros. Lo llevaron a la comisaría inmediatamente.,Llevaron al cajero a la comisaría inmediatamente.,0
119,"Adam no puede salir del trabajo hasta que Bob llegue para sustituirle. Si Bob hubiera salido de casa a tiempo, ahora ya habría llegado.",Ahora Bob ya habría llegado.,1
120,¿Te acuerdas de la vez que cortaste los bulbos de los tulipanes y los cocinaste con las hamburguesas porque pensaste que eran cebollas?,¿Pensaste que los bulbos eran cebollas?,1
121,Este libro introdujo a Shakespeare en Ovidio; fue una gran influencia para su escritura.,Fue una gran influencia para la escritura de Shakespeare.,1
122,Thomson visitó la tumba de Cooper en 1765. Por aquel entonces hacía cinco años que estaba muerto.,Hacía cinco años que Cooper estaba muerto.,1
123,"Se suponía que Fred tenía que poner el lavavajillas en marcha, pero ya lo haría más tarde porque quería ver la televisión. Pero al final el programa era aburrido, o sea que cambió de opinión y lo puso en marcha.",Cambió de opinión y encendió el televisor.,0
124,"Paul intentó llamar a George por teléfono, pero no estaba disponible.",George no estaba disponible.,1
125,"Cuando Tatyana llegó al camarote, su madre estaba durmiendo. Entró con cuidado para no despertarla, se desvistió y subió a su litera.","Tatyana entró con cuidado para no despertarla, se desvistió y subió a su litera.",1
126,"Bernard, que no había dicho al funcionario que tenía menos de 21 años cuando presentó su solicitud de concesión de propiedad, no consideraba que hubiera hecho nada malo. Pero cualquiera que supiera que solo tenía 19 años podría haber anulado su solicitud.",Cualquiera que supiera que solo tenía 19 años podría haber anulado la solicitud del funcionario.,0
127,Fred era el único hombre vivo que recordaba a mi bisabuelo. Era un hombre extraordinario.,Mi bisabuelo era un hombre extraordinario.,0
128,Guardé la tarta en la nevera. Había muchas sobras en ella.,Había muchas sobras en la tarta.,0
129,Jim hizo señas al camarero y le señaló su llave del baño.,Jim hizo señas al camarero y le señaló la llave del baño del camarero.,1
130,Steve siempre sigue el ejemplo de Fred. Tiene mucha influencia sobre él.,Fred tiene mucha influencia sobre él.,1
131,"Cuando Tatyana llegó al camarote, su madre estaba durmiendo. Entró con cuidado para no despertarla, se desvistió y subió a su litera.","Entró con cuidado para no despertar a su madre, se desvistió y subió a su litera.",1
132,Jane dio golosinas a Joan porque no tenía hambre.,Jane no tenía hambre.,1
133,"Cuando Tommy dejó caer su helado, Timmy se rio, por eso su padre le dirigió una mirada severa.",El padre dirigió a Tommy una mirada severa.,0
134,"No tenía cuchara, por lo que utilicé un bolígrafo para remover el café. Pero resultó una mala idea, porque se llenó de tinta.",El café se llenó de tinta.,1
135,El hombre no pudo levantar a su hijo porque estaba muy débil.,El hijo estaba muy débil.,0
136,"Sam intentaba pintar un cuadro de pastores con ovejas, pero más bien parecían jugadores de golf.",Los pastores más bien parecían jugadores de golf.,1
137,"No tenía cuchara, por lo que utilicé un bolígrafo para remover el café. Pero resultó una mala idea, porque se llenó de tinta.",El bolígrafo se llenó de tinta.,0
138,John corría por el parque cuando vio a un hombre que hacía malabares con sandías. Estaba muy impresionado.,John estaba muy impresionado.,1
139,Fred se tapó los ojos con los brazos porque el viento hacía que le entrara arena. Los bajó cuando el viento dejó de soplar.,Bajó los ojos cuando el viento dejó de soplar.,0
140,El camión de reparto adelantó al autobús escolar porque iba demasiado rápido.,El autobús escolar iba demasiado rápido.,0
141,Durante el juego del pillapilla Ethan atrapó a Luke porque era quien la pagaba.,Luke era quien la pagaba.,0
142,Hay un agujero en el muro. Se puede ver el jardín detrás de él.,Se puede ver el jardín a través del muro.,1
143,Saqué la cantimplora de la mochila para que pesara menos.,Saqué la cantimplora de la mochila para que la cantimplora pesara menos.,0
144,"El sol estuvo cubierto por una gruesa nube toda la mañana, pero, afortunadamente, cuando empezó el pícnic, salió.",El sol salió.,1
145,Jim gritaba a Kevin porque estaba muy enfadado.,Jim estaba muy enfadado.,1
146,"Incluso antes de llegar a la ciudad, pudieron escuchar un ruido como de maíz tostándose. Dora preguntó qué era y papá dijo que eran petardos.",Dora preguntó qué era el ruido.,1
147,Bill pasó la videoconsola a John porque era su turno.,Era el turno de Bill.,0
148,"Se suponía que Fred tenía que poner el lavavajillas en marcha, pero ya lo haría más tarde porque quería ver la televisión. Pero al final el programa era aburrido, o sea que cambió de opinión y lo puso en marcha.",Cambió de opinión y puso en marcha el lavavajillas.,1
149,"Mientras Ollie subía a Timmy cuestas la larga escalera de caracol, le dolían las piernas.",A Tommy le dolían las piernas.,0
150,Los zorros entran de noche y atacan a los pollos. Tendré que matarlos.,Tendré que matar a los pollos.,0
151,"Papá observó las caras de sus hijas, tan asombradas y tristes ahora. Ya era bastante malo que tuvieran que renunciar a tantas cosas porque él no podía permitírselas.",Ya era bastante malo que las caras tuvieran que renunciar a tantas cosas porque él no podía permitírselas.,0
152,"El saco de patatas estaba sobre el saco de harina, por eso había que sacarlo primero.",Había que sacar primero el saco de harina.,0
153,"El perro perseguía al gato, que trepó por un árbol. Le esperó arriba.",El perro espero arriba.,0
154,Steve siempre sigue el ejemplo de Fred. Le admira mucho.,Fred le admira mucho.,0
155,La mujer sostenía a la niña junto a su pecho.,La mujer sostenía a la niña junto al pecho de la mujer.,1
156,"El perro perseguía al gato, que trepó por un árbol. Le esperó abajo.",El perro espero abajo.,1
157,Bob se desplomó en la acera. Pronto vio que Carl venía a ayudar. Estaba muy preocupado.,Carl estaba muy preocupado.,1
158,"Sam se rompió las dos piernas y ahora camina con muletas. Pero dentro de un mes, más o menos, deberían dejar de ser necesarias.",Las muletas deberían dejar de ser necesarias.,1
159,Clavé una aguja en una zanahoria. Cuando saqué la aguja dejó un agujero.,La zanahoria dejó un agujero.,0
160,"Sam intentaba pintar un cuadro de pastores con ovejas, pero más bien parecían perros.",Las ovejas más bien parecían perros.,1
161,"En medio del concierto al aire libre empezó a llover, y siguió hasta las 10.",El concierto siguió hasta las 10.,0
162,Los bomberos llegaron antes que los policías porque venían de más lejos.,Los bomberos venían de más lejos.,0
163,"Estaba intentando abrir el candado con la llave, pero alguien había llenado la cerradura con goma de mascar y no podía introducirla.",No podía introducir la llave.,1
164,Mark estaba seguro de una cosa. Harry sabía mucho menos que él.,Harry sabía mucho menos que Mark.,1
165,El prado de Dakota tenía un aspecto tan cálido y brillante bajo la luz del sol que parecía imposible que alguna vez se hubiera visto batido por el viento y la nieve del invierno.,Parecía imposible que el prado se hubiera visto batido por el viento y la nieve del invierno.,1
166,"Era una tarde de verano, y el perro estaba tumbado en medio del césped. Al cabo de un rato, se levantó y se dirigió a un lugar bajo el árbol, porque tenía calor.",El perro tenía calor.,1
167,Frank se sintió legitimado cuando su rival de toda la vida Bill le dijo que había ganado la competición.,Frank había ganado la competición.,1
168,Joan se aseguró de dar las gracias a Susan por toda la ayuda que le había prestado.,Joan se aseguró de dar las gracias a Susan por toda la ayuda que Susan le había prestado.,1
169,"Estaban retransmitiendo un anuncio, pero entró un tren en la estación y no pude escucharlo.",No pude escuchar el anuncio.,0
170,John estaba estudiando en la biblioteca cuando escuchó a un hombre que murmuraba y silbaba. Estaba muy molesto.,John estaba muy molesto.,1
171,Mary sacó su flauta y tocó una de sus piezas favoritas. Le gustaba desde que era niña.,Le gustaba aquella pieza desde que era niña.,1
172,Estoy seguro de que en mi mapa aparecerá este edificio. Es muy bueno.,El mapa es muy bueno.,1
173,Carol creía que Rebecca lamentaba que hubiera robado el reloj.,Carol creía que Rebecca lamentaba que Rebecca hubiera robado el reloj.,1
174,La mesa no pasará por la puerta porque es demasiado estrecha.,La puerta es demasiado estrecha.,1
175,"Si el estafador hubiera conseguido engañar a Sam, él habría perdido mucho dinero.",El estafador habría perdido mucho dinero.,0
176,"Sam acercó un asiento al piano, pero estaba roto, por lo que tuvo que cantar en vez de tocar.","El piano estaba roto, por lo que tuvo que cantar en vez de tocar.",1
177,"Fred es el único hombre vivo que todavía recuerda a mi padre cuando era niño. Cuando Fred vio por primera vez a mi padre, tenía doce meses.","Cuando Fred vio por primera vez a mi padre, Fred tenía doce meses.",0
178,A Anna la prueba le salió mucho mejor que a su buena amiga Lucy porque había estudiado mucho.,Lucy había estudiado mucho.,0
179,Jane llamó a la puerta y Susan respondió. La invitó a salir.,Susan la invitó a salir.,0
180,"El camino hasta el lago estaba cortado, por lo que no pudimos llegar a él.",No pudimos llegar al lago.,1
181,Grace estaba contenta de cambiar su sudadera por mi chaqueta. Cree que no le queda bien.,La chaqueta no le queda bien.,0
182,Kirilov cedió la presidencia a Shatov porque era más popular.,Kirilov era más popular.,0
183,"Intentaba pintar un cuadro de árboles frutales, con limones en los limoneros, pero más bien parecían postes de teléfono.",Los limoneros más bien parecían postes de teléfono.,1
184,Pete envidia a Martin porque tiene mucho éxito.,Martin tiene mucho éxito.,1
185,"Como llovía, puse el periódico en mi mochila para que no se mojara.",Puse el periódico en mi mochila para que el periódico no se mojara.,1
186,"Los padres de Pam llegaron a casa y la encontraron en la cama con su novio, Paul. Se enfadaron mucho.",Pam y Paul se enfadaron mucho.,0
187,"Estaba allí sentado sintiéndome un poco como el chico de aquella historia que leí una vez, que había asesinado a una mujer y había ocultado el cuerpo bajo la mesa del comedor, y después tuvo que ser el alma de la fiesta, con ella allí todo el tiempo.","Tuvo que ser el alma de la fiesta, con la fiesta allí todo el tiempo.",0
188,"Con la tormenta, el árbol cayó y destrozó el tejado de mi casa. Ahora tengo que hacer que lo quiten.",Ahora tengo que hacer que quiten el árbol.,1
189,"Se suponía que Fred tenía que poner el lavavajillas en marcha, pero ya lo haría más tarde porque quería ver la televisión. Pero al final el programa era aburrido, o sea que cambió de opinión y lo apagó.",Cambió de opinión y apagó el televisor.,1
190,"En medio del concierto al aire libre empezó a llover, y siguió hasta las 10.",La lluvia siguió hasta las 10.,1
191,"No es fácil dejar la misma distancia entre un ojal y otro, y es muy difícil cortarlos todos exactamente con el largo correcto. El más mínimo desvío del punzón hará que un ojal sea demasiado grande, y un solo hilo sin cortar lo hará demasiado corto.",Y un solo hilo sin cortar hará que el hilo sea demasiado corto.,0
192,"Sam iba a clase de francés con Adam, porque tenía fama de que lo hablaba muy bien.",Adam tenía fama de que lo hablaba muy bien.,1
193,"Sid explicó su teoría a Mark, pero no pudo convencerlo.",Sid no pudo convencerlo.,1
194,"A todos les gustaron mucho las galletas de avena, solo unos cuantos prefirieron las galletas de chocolate. La próxima vez, deberíamos hacer más.",Deberíamos hacer más galletas de avena.,1
195,"El saco de patatas estaba debajo del saco de harina, por eso había que sacarlo primero.",Había que sacar primero el saco de harina.,1
196,"Mientras Ollie subía con Tommy a cuestas la larga escalera de caracol, sus piernas colgaban.",A Tommy le colgaban las piernas.,1
197,La biografía de Sam Goodman sobre el general espartano Jenofonte transmite una vívida visión de las dificultades con las que se enfrentó en su investigación.,La biografía de Sam Goodman sobre el general espartano Jenofonte transmite una vívida visión de las dificultades con las que Goodman se enfrentó en su investigación.,1
198,"Mark solo podía pensar en Blaze, su caballo blanco. Temía que los mozos de las caballerizas de Burlington Stables se metieran con él y le acosaran porque era tímido, por eso asumió él mismo la alimentación y el cuidado del animal.",Blaze asumió él mismo la alimentación y el cuidado del animal.,0
199,"El tío de Joe todavía puede ganarle jugando a tenis, aunque es 30 años mayor.",El tío de Joe es 30 años mayor.,1
200,"Alice limpiaba el polvo del salón e intentaba encontrar el botón que su madre había perdido. Hoy no tenía tiempo para mirar las fotos antiguas de su álbum favorito. Hoy tenía que buscar un botón, por lo que dejó el álbum sobre un sillón sin ni siquiera abrirlo.",Su madre tenía que buscar un botón.,0
201,Vertí agua de la botella a la taza hasta que estuvo llena.,La taza estaba llena.,1
202,Durante el juego del pillapilla Ethan atrapó a Luke porque era quien la pagaba.,Ethan era quien la pagaba.,1
