sentence1_2_md5,sentence1,sentence1_gn,sentence2,sentence2_gn,label
4b1d708897f235b3f73b8fe7065013cc,"Mark solo podía pensar en Blaze, su caballo blanco. Temía que los mozos de las caballerizas de Burlington Stables se metieran con él y le acosaran porque era tímido, por eso asumió él mismo la alimentación y el cuidado del animal.","Mark imandu'a Blaze rehentevoi, ikavaju morotĩ. Okyhyje umi Burlington Stables kavaju rógape oñangarekóvagui ani ojahéi hese hekomirĩmi rupi,  upéva rehe ha'etevoi omongaru ha oñangareko hese.  ",Mark temía que los mozos de las caballerizas de Burlington Stables se metieran con él y le acosaran.,Mark okyhyje umi Burlington Stables kavaju rógape oñangarekóvagui ani ojahéi hese.,1
04a68bbe90a5af9246aa1a6c1c69a770,"Si se asomaba desde la cama de arriba, Tatyana podía ver a su madre cómodamente. Cuán pequeña, estirada y rígida estaba en la cama de abajo. Tenía los ojos cerrados, pero Tatyana no estaba segura de que durmiera.","Ojesarekóramo hupa yvategua guive, Tatyana ikatu ohecha isýpe oĩporãiteha. Mba'eichaitépa michĩmi, ojepyso hatã'asy tupa oĩva iguýpe. Hesa oñemboty katu Tatyana ndogueroviapái añetehápepa okehína. ",Tatyana no estaba segura de que su madre durmiera.,Tatyana ndogueroviapái añetehápepa isy okehína. ,1
fbce1726618e9120df71d499b73b63db,"No puedo cortar esta rama con el hacha, es demasiado gruesa.","Ndaikatúi aikytĩ háchape ko yvyra rakã, ipoguasueterei.",El hacha es demasiado gruesa.,Hácha ipoguasueterei.,0
37083c7b28984fee43db8591e29aac9f,Tom llevó a Ralph en coche a la escuela para que no tuviera que conducir solo.,Tom ogueraha Ralph-pe mbo'ehaópe mba'yruguatápe ani hag̃ua omboguata ha'eño. ,Para que Tom no tuviera que conducir solo.,Ani hag̃ua Tom omboguata ha'eño.,1
4e74787607e7efb2bfad695925c2b59d,El dibujo de Sam estaba colgado justo encima del de Tina y parecía mucho mejor con otro debajo.,Ta'ãnga Sam ojapóva oñemosãigókuri Tina ojapova'ekue ári ha ha'ete iporãvéva oĩramo ambue iguýpe.,El dibujo de Sam parecía mucho mejor con otro debajo.,Ta'ãnga Sam ojapova'ekue ha'etévaicha iporãvéva oĩramo ambue ta'ãnga iguýpe.,1
7cb8030c268ed1bf54a80cedc4ff2fe6,"Aunque corrían más o menos a la misma velocidad, Sue ganó a Sally porque ella había empezado mucho mejor.","Jepémo peteĩchalénto oñani hikuái, Sue raẽ og̃uahẽkuri Sally-gui ha'e oñepyrũ porãve rupi.",Sue había empezado mucho mejor.,Sue oñepyrũ porãvekuri.,1
d5ba8006fdeda3ca74ff6ac6d82be2e2,El hombre llevó al chico sobre sus hombros.,Upe kuimba'e ogueraha mitãme ijati'y ári,El hombre llevó al chico sobre los hombros del hombre.,Pe kuimba'e ogueraha mitãme kuimba'e ati'y ári,1
e6d254807698d316b451fc0f788d06dd,"Jackson estaba muy influido por Arnold, aunque vivió dos siglos antes.","Jackson omomba'eguasueterei Arnold-pe, jepémo ojapóma 200 ary omanohague.",Jackson vivió dos siglos antes.,Arnold omanohague ojapóma 200 ary.,0
1f2e0c3b15f58530aaf1fa76ce4b6e12,¿Te acuerdas de la vez que cortaste los bulbos de los tulipanes y los cocinaste con las hamburguesas porque pensaste que eran cebollas?,Nemandu'ápa reikytĩramoguare tulipan rapo ha embojy hamburguesarã reimo'ã rupi ha'eha sevói.,¿Pensaste que los bulbos eran cebollas?,Reimo'ãpa umi bulbo ha'eha sevói,1
efd206f04b9be5533ad34861a84cc315,Este libro introdujo a Shakespeare en Ovidio; fue una gran influencia para su escritura.,Ko aranduka omoĩnge ñepyrũ Shakespeare Ovidio akãme; hetamba'e ichugui oúva oĩ ihaipyrépe.,Fue una gran influencia para la escritura de Shakespeare.,Tuichaiterei mba'e Shakespeare haipýpe g̃uarã.,1
819642c8ff20c0d5ceeb6fa0294a1269,Guardé la tarta en la nevera. Había muchas sobras en ella.,Añongatu tarta eladérape. Heta tembyre oĩ ipype.  ,Había muchas sobras en la tarta.,Heta tembyre oĩ tarta-pe.,0
31525d7fc2146b095f58847a000059a0,Steve siempre sigue el ejemplo de Fred. Tiene mucha influencia sobre él.,Steve akóinte oreko techapyrãramo Fred-pe. Ohecharamoite ichupe.,Fred tiene mucha influencia sobre él.,Heta mba'épe ohecharamo Fred-pe.,1
e6197ce677294f7311ca05e82946719a,"Cuando Tommy dejó caer su helado, Timmy se rio, por eso su padre le dirigió una mirada severa.","Tommy-gui helado ho'aramoguare, Timmy opuka hese, upéva rehe itúva oma'ẽvai hese. ",El padre dirigió a Tommy una mirada severa.,Tommy ru oma'ẽvai hese.,0
5141f61ae6582955cf9074630eebc26f,"No tenía cuchara, por lo que utilicé un bolígrafo para remover el café. Pero resultó una mala idea, porque se llenó de tinta.","Ndaguerekóikuri kuimbe, upéva rehe aiporukuri peteĩ viróme aipyvu hag̃ua che café. Katu naiporãiete upe ajapóva ohopaite rupi tinta ipype. ",El café se llenó de tinta.,Café henyhẽ tinta-gui,1
55178531a7797f1e2820f990e87b90f2,"Sam intentaba pintar un cuadro de pastores con ovejas, pero más bien parecían jugadores de golf.","Sam oñeha'ãkuri omoha'ãnga hag̃ua ovechakuéra iñangarekohára ndive, katu uvei ojoguave umi golf ra'ãhárape. ",Los pastores más bien parecían jugadores de golf.,Umi ovecha ñangarekohára ojoguave uvei umi golf ra'ãharakuérape.,1
b6471a30958c601c37b64013d81b3dbe,John corría por el parque cuando vio a un hombre que hacía malabares con sandías. Estaba muy impresionado.,John oñanihína parque-pe ha ohecha sapy'a peteĩ tapicha ojapóva malabarismo sandia reheve. Ohecharamoiterei.,John estaba muy impresionado.,John ohecharamoiterei.,1
357462876580cbb403e399bf86318e06,"Papá observó las caras de sus hijas, tan asombradas y tristes ahora. Ya era bastante malo que tuvieran que renunciar a tantas cosas porque él no podía permitírselas.","Che ru oma'ẽ itajyrakuéra rováre, ha'ete ku noimo'ãi ha hovañembyasyvahína ko'ág̃a. Ivaimavoihína omboyke umi oipotáva ha'e ndaikatúi rupi ome'ẽ ichupekuéra. ",Ya era bastante malo que las caras tuvieran que renunciar a tantas cosas porque él no podía permitírselas.,Ivaimavoihína umi tova omboyke heta mba'e oipotáva ha'e ndaikatúi rupi ome'ẽ ichupekuéra ,0
4d93db15cc9f81655f26779b3f607595,"El perro perseguía al gato, que trepó por un árbol. Le esperó abajo.","Jagua omuña mbarakajápe, ojupíva peteĩ yvyra rehe. Oha'ãrõ ichupe iguýpe.",El perro espero abajo.,Jagua oha'ãrõ iguýpe.,1
13091ea1883bb28b0f73997ef4950868,Clavé una aguja en una zanahoria. Cuando saqué la aguja dejó un agujero.,Aikutu peteĩ ju zanahoria rehe. Aipe'a rire ju opyta ikuare hese.,La zanahoria dejó un agujero.,Zahahoria oheja peteĩ kuare.,0
838c23a71880d7d5fd4e2bd93de2a2a2,"Sam intentaba pintar un cuadro de pastores con ovejas, pero más bien parecían perros.","Sam oñeha'ãkuri omoha'ãnga hag̃ua ovechakuéra iñangarekohára ndive, katu uvei ojoguave jaguápe. ",Las ovejas más bien parecían perros.,Umi ovecha ojoguave uvei jaguápe.,1
775c62e877d31d0c418836f0d40541b0,"En medio del concierto al aire libre empezó a llover, y siguió hasta las 10.","Concierto okápe oiko aja oñepyrũ oky sapy'a, ha ohorei hese la 10 peve.",El concierto siguió hasta las 10.,Concierto oho hese la 10 peve.,0
8817d8f2838cb9aecf40ba1d481d9d63,Mark estaba seguro de una cosa. Harry sabía mucho menos que él.,Mark oikuaaporã peteĩ mba'e. Harry sa'ieteve oikuaa ichugui. ,Harry sabía mucho menos que Mark.,Harry sa'ieteve oikuaa ichugui.,1
25ff2aa7aa7aa53e09f1d2c9c26628b5,"Era una tarde de verano, y el perro estaba tumbado en medio del césped. Al cabo de un rato, se levantó y se dirigió a un lugar bajo el árbol, porque tenía calor.","Peteĩ ka'aru arahaku jave, ha jagua oñenohína kapi'ipe mbytépe. Upe riremínte, opu'ã ha oho yvyra guýpe hakúma rupi ichupe.  ",El perro tenía calor.,Hakúma jaguápe.,1
8bd75b54d1d63f272593a102b272711e,"Estaban retransmitiendo un anuncio, pero entró un tren en la estación y no pude escucharlo.","Ombohasahína hikuái marandu, ha upe jave oike peteĩ tren estación-pe ha nahendúi upe he'íva.",No pude escuchar el anuncio.,Nahendúi upe marandu.,0
fb28ba96105f75808a90e2578ae2da48,John estaba estudiando en la biblioteca cuando escuchó a un hombre que murmuraba y silbaba. Estaba muy molesto.,John oñemoaranduhínakuri arandukakotýpe ha upeichaháguinte ohendu oñe'ẽguyguy ha oturuñe'ẽva. Ombopochyete ichupe upéva.,John estaba muy molesto.,John ipochyeterei,1
52625b6e77f536c68c2ee249584484d0,Mary sacó su flauta y tocó una de sus piezas favoritas. Le gustaba desde que era niña.,Mary oguenohẽ imimby ha ombopu peteĩva purahéi ohayhuvéva. Ohayhu yma imitãkuñami guive.,Le gustaba aquella pieza desde que era niña.,Ohayhu upe purahéi yma imitãkuñami guive.,1
77a8d72928418fbc6957e8126f6381b4,Jane llamó a la puerta y Susan respondió. La invitó a salir.,Jane ojepopete okẽ renondépe ha Susan osẽ ohecha. Ojerure ichupe osẽ hag̃ua oñondive.,Susan la invitó a salir.,Susan oipepirũ ichupe osẽ hag̃ua hendive.,0
66851fd825412743ec1ccaea14d541a2,"Los padres de Pam llegaron a casa y la encontraron en la cama con su novio, Paul. Se enfadaron mucho.",Pam sy ha itúva og̃uahẽ hógape ha ojuhu chupe tupápe ichíko Paul ndive. Ipochyeterei hikuái.,Pam y Paul se enfadaron mucho.,Pam ha Paul ipochyeterei hikuái.,0
8dd861caf907f0c88456cdd369d9fb4e,"Estaba allí sentado sintiéndome un poco como el chico de aquella historia que leí una vez, que había asesinado a una mujer y había ocultado el cuerpo bajo la mesa del comedor, y después tuvo que ser el alma de la fiesta, con ella allí todo el tiempo.","Aguapy'aína upépe añeñandu upe mitãkaria'ýicha amoñe'ẽva'ekue rembiasakuépe, ojukava'ekue peteĩ kuñáme ha hetekue oñongatu mesa karuha guýpe, ha upéi ha'éntema hetia'éva vy'aguasu aja, upe kuña retekue reheve upépe.","Tuvo que ser el alma de la fiesta, con la fiesta allí todo el tiempo.","Ha'étamante upe hetia'evéva vy'aguasu aja, vy'aguasu upépe oiko aja.",0
9359ff723717f590db165fb5f3e54904,"Se suponía que Fred tenía que poner el lavavajillas en marcha, pero ya lo haría más tarde porque quería ver la televisión. Pero al final el programa era aburrido, o sea que cambió de opinión y lo apagó.","Fred omoĩva'erãkuri upe tembiporu joheiha, katu ohejavénte ág̃amieve g̃uarã ohechase rupi téle. Upéi ohechakuaa upe télepe ombohasáva nahe'ẽiha, omoambue upe he'iva'ekue ha ombogue.",Cambió de opinión y apagó el televisor.,Omoambue upe he'iva'ekue ha ombogue,1
2967647dd1c6a0d3b813cd569b25e0dd,"No es fácil dejar la misma distancia entre un ojal y otro, y es muy difícil cortarlos todos exactamente con el largo correcto. El más mínimo desvío del punzón hará que un ojal sea demasiado grande, y un solo hilo sin cortar lo hará demasiado corto.","Hasy ojeheja hag̃ua upe ojal renda peteĩchapa ojoehegui, ha hasy oiñeikytĩ hag̃ua peteĩchapaite.Michĩmínte jepe oku'éramo punzón ikatu tuichavéma ojal ambuégui ha peteĩ inimbónte jepe noñeikytĩriramo ikatu ojal mbykyve.  ",Y un solo hilo sin cortar hará que el hilo sea demasiado corto.,ha peteĩ inimbónte jepe noñeikytĩriramo ikatu imimbo mbykyve.,0
0b9cb3e22b9302110701fd5b11fb6ea5,La biografía de Sam Goodman sobre el general espartano Jenofonte transmite una vívida visión de las dificultades con las que se enfrentó en su investigación.,Sam Goodman ojapova'ekue general espartaygua Jenofonte rekoveasakue ohechauka mba'eichaitépa heta iñapañuãi ojapo hag̃ua hesegua tembikuaareka.,La biografía de Sam Goodman sobre el general espartano Jenofonte transmite una vívida visión de las dificultades con las que Goodman se enfrentó en su investigación.,Sam Goodman ojapova'ekue general espartaygua Jenofonte rekoveasakue ohechauka mba'eichaitépa heta iñapañuãi ohasa Goodman ojapo hag̃ua ehegua tembikuaareka.,1
14d28fe91b7143c945668a2976faa02a,"Alice limpiaba el polvo del salón e intentaba encontrar el botón que su madre había perdido. Hoy no tenía tiempo para mirar las fotos antiguas de su álbum favorito. Hoy tenía que buscar un botón, por lo que dejó el álbum sobre un sillón sin ni siquiera abrirlo.","Alice omopotĩkuri yvytimbo kotyguasúpe ha upekuévo oheka votõ okañyva'ekue isýgui. Ko'árape nahembýi ichupe aravo ohecha hag̃ua umi ta'ãnga ymaguare upe álbum ohayhuvevapegua. Ko árape ohekava'erã peteĩ votõ, upévare oheja álbum sillón ári ohecha'ỹre ni peteĩ hogue.",Su madre tenía que buscar un botón.,Isy ohekava'erã peteĩ votõ.,0
c50bda1d558cdd9d2b6a4234f0711e4a,Vertí agua de la botella a la taza hasta que estuvo llena.,Amoĩ y botella-gui taza-pe henyhẽte peve.,La taza estaba llena.,Henyhẽtéma pe taza,1
57eb30ab406ac9f43f5875b22ab63d2a,John estaba estudiando en la biblioteca cuando escuchó a un hombre que murmuraba y silbaba. Estaba muy molesto.,John oñemoaranduhínakuri arandukakotýpe ha upeichaháguinte ohendu oñe'ẽguyguy ha oturuñe'ẽva. Ombopochyete ichupe upéva.,El hombre estaba muy molesto.,Upe kuimba'e ipochyetereikuri.,0
c9f1be98addc2c17c6685ce2b5abc814,"Jackson estaba muy influido por Arnold, aunque vivió dos siglos después.","Jackson omomba'eguasueterei Arnold-pe, jepémo heñóikuri 200 ary upe riréma. ",Jackson vivió dos siglos después.,Jackson oikove 200 ary uperiréma.,1
841f9ad81b36bf32cc7873cc2ad27841,El padre llevaba al hijo que dormía en su cochecito.,Upe túva oguerahákuri ita'ýrape coche'ípe oke aja,El padre llevaba al hijo que dormía en el cochecito del padre.,Upe túva oguerahákuri ita'ýrape oke aja coche'ípe ha'éva itúva mba'e.,0
ab09bc6970153557b766096d9758d73b,Dan se sentó atrás mientras Bill reclamaba el asiento de delante porque había sido más rápido.,Dan oguapy ikupépe ha upe aja Bill oguapy tendondepeguápe ha'e ipya'eve rupi.,Dan se sentó atrás mientras Bill reclamaba el asiento de delante porque Dan había sido más rápido.,Dan oguapy ikupépe ha upe aja Bill oguapy tendondepeguápe Dan ipya'eve rupi.,0
6dd33943a1bbcc81a5328e858d0eaa73,Los zorros entran de noche y atacan a los pollos. Se han puesto muy nerviosos.,Aguara oike pyharekue ha ho'use ryguasukuéra. Iñangekoipa hikuái.,Los zorros se han puesto muy nerviosos.,Aguarakuéra ipochypa.,0
635143e4ecc1aeb48efef6aad919555e,Saqué la cantimplora de la mochila para tenerla más a mano.,Aguenohẽ yryru che vokógui aguereko hag̃ua cheykereve.,Saqué la cantimplora de la mochila para tener la cantimplora más a mano.,Aguenohẽ yryru che vokógui aguereko hag̃ua yryru cheykereve. ,1
0ca63b11df785462f0fc28296d82ab8e,"Cuando Andrea pasó con la avioneta por encima de Susan, pudo ver la pista de aterrizaje.","Andrea ohasávo avioneta-pe Susan ári, ohechákuri upe pista jeguejyha.",Andrea pudo ver la pista de aterrizaje.,Andrea ohechákuri pista jeguejyha.,1
8cf08e92c82530cb97ee19cd3f85e557,"Cuando Andrea pasó con la avioneta por encima de Susan, pudo ver la pista de aterrizaje.","Andrea ohasávo avioneta-pe Susan ári, ohechákuri upe pista jeguejyha.",Susan pudo ver la pista de aterrizaje.,Susan ohechákuri pista jeguejyha.,0
0bef651b7522aabf3e7d1d5f621760de,"El gato esperaba ante la ratonera a que saliera el ratón, pero era demasiado impaciente.","Mbarakaja oha'ãrõkuri angujakuára renondépe tosẽ upe anguja, katu ipy'atarovaiterei.",El ratón era demasiado impaciente.,Anguja ipy'atarovaiterei,0
176d41b29186082ed5ec2cd601dd4c53,"A todos les gustaron mucho las galletas de avena, solo unos cuantos prefirieron las galletas de chocolate. La próxima vez, deberíamos hacer más.","Opavavete ho'usékuri galleta avena-guigua, oĩnte sa'imi ho'uséva galleta chocolate-gui ojejapóva. Ágã ko'a rire, jajapova'erã hetavéma. ",Deberíamos hacer más galletas de chocolate.,Jajapova'erã hetavéma galleta chocolate-guigua.,0
c3673a4b516b70ce2e8daface8ab17a1,Jim hizo señas al camarero y le señaló su llave del baño.,Jim ojapo seña upe mesápe oñatendévape ha ohechauka ichupe llave báño-pegua.,Jim hizo señas al camarero y le señaló la llave del baño de Jim.,Jim ojapo seña upe mesápe oñatendévape ha ohechauka ichupe Jim llave báño-pegua.,0
a72c03f0a138eccbfde8e9c98185652b,"Mark le pisaba los talones al Sr. Singer. Oyó cómo llamaba al capitán, y le prometía, en la jerga con la que todo el mundo hablaba aquella noche, que en el barco nada resultaría dañado, excepto la munición, pero el capitán y su tripulación prefirieron quedarse en la cabina hasta que finalizara el trabajo.","Mark opyrũ ohóvo Karai Singer pytáre. Ohendu mba'éichapa ohenói capitán-pe, ha ome'ẽ ichupe iñe'ẽ, opave upe pyharépe oñe'ẽhaichaite, ygaratápe oĩvape mba'evete ivaíva ndojehumo'ãiha, katu umíva apytépe ndoikéi vala kuéra, capitán ha hendiveguakuéra opytánte cabina ryepýpe opaite peve ojejapóva.",Oyó como el Sr. Singer llamaba al capitán.,Ohendu mba'éichapa Karai Singer ohenóikuri capitán-pe.,1
068a55fa959b03646fab2d90e6f98563,"En el concurso Loebner los jueces no podían decidir qué concursantes eran los chatbots, porque eran muy estúpidos.","Jeporavo Loebner oikova'ekuépe umi juez noñemoĩri peteĩ ñe'ẽme mavaitévapa umi concursante apytépe ha'e chatbots, oñembotavyeterei rupi hikuái.",Los jueces eran muy estúpidos.,Juez kuéra oñembotavyeterei,1
c14d2c6e089fd5e172131b4c3e9d2b17,La gran bola penetró a través de la mesa porque era de acero.,Mba'e apu'aguasu ombokua mesa ha'e rupi acero-guigua.,La mesa era de acero.,Mesa acero-guigua.,0
aceae5a3e05864e3ebf4b7c6066d7c88,"Si el estafador hubiera conseguido engañar a Sam, él habría perdido mucho dinero.","Upe oporombotavyséva Sam-pe ombotavýrire, ichugui oipe'aramo'ã heta viru.",Sam habría perdido mucho dinero.,Sam-gui oipe'aramo'ã heta viru..,1
9d7cd0d1353e26e62bc93beeb5274085,"El padre averiguó cuánto dinero debía el hombre a la tienda; a eso añadió el alojamiento en la cabaña del cocinero. Restó el importe del salario del hombre, y le extendió un cheque.","Upe kuimba'e ru oporandu mboy virúpa odeve ñemuhãme, upéva ndive omoĩva tembi'uapoha róga repy. Oipe'a upe kuimba'e rembiapo repýgui, ha ome'ẽ ichupe peteĩ cheque.  ",El hombre restó el importe del salario del hombre.,Pe kuimba'e oipe'a odevéva kuimba'e rembiapo repýgui.,0
