ref,sentence1,sentence2,score
9359ff723717f590db165fb5f3e54904,"Fred omoĩva'erãkuri upe tembiporu joheiha, katu ohejavénte ág̃amieve g̃uarã ohechase rupi téle. Upéi ohechakuaa upe télepe ombohasáva nahe'ẽiha, omoambue upe he'iva'ekue ha ombogue.",Omoambue upe he'iva'ekue ha ombogue,1
2967647dd1c6a0d3b813cd569b25e0dd,"Hasy ojeheja hag̃ua upe ojal renda peteĩchapa ojoehegui, ha hasy oiñeikytĩ hag̃ua peteĩchapaite.Michĩmínte jepe oku'éramo punzón ikatu tuichavéma ojal ambuégui ha peteĩ inimbónte jepe noñeikytĩriramo ikatu ojal mbykyve.  ",ha peteĩ inimbónte jepe noñeikytĩriramo ikatu imimbo mbykyve.,0
0b9cb3e22b9302110701fd5b11fb6ea5,Sam Goodman ojapova'ekue general espartaygua Jenofonte rekoveasakue ohechauka mba'eichaitépa heta iñapañuãi ojapo hag̃ua hesegua tembikuaareka.,Sam Goodman ojapova'ekue general espartaygua Jenofonte rekoveasakue ohechauka mba'eichaitépa heta iñapañuãi ohasa Goodman ojapo hag̃ua ehegua tembikuaareka.,1
14d28fe91b7143c945668a2976faa02a,"Alice omopotĩkuri yvytimbo kotyguasúpe ha upekuévo oheka votõ okañyva'ekue isýgui. Ko'árape nahembýi ichupe aravo ohecha hag̃ua umi ta'ãnga ymaguare upe álbum ohayhuvevapegua. Ko árape ohekava'erã peteĩ votõ, upévare oheja álbum sillón ári ohecha'ỹre ni peteĩ hogue.",Isy ohekava'erã peteĩ votõ.,0
c50bda1d558cdd9d2b6a4234f0711e4a,Amoĩ y botella-gui taza-pe henyhẽte peve.,Henyhẽtéma pe taza,1
57eb30ab406ac9f43f5875b22ab63d2a,John oñemoaranduhínakuri arandukakotýpe ha upeichaháguinte ohendu oñe'ẽguyguy ha oturuñe'ẽva. Ombopochyete ichupe upéva.,Upe kuimba'e ipochyetereikuri.,0
c9f1be98addc2c17c6685ce2b5abc814,"Jackson omomba'eguasueterei Arnold-pe, jepémo heñóikuri 200 ary upe riréma. ",Jackson oikove 200 ary uperiréma.,1
841f9ad81b36bf32cc7873cc2ad27841,Upe túva oguerahákuri ita'ýrape coche'ípe oke aja,Upe túva oguerahákuri ita'ýrape oke aja coche'ípe ha'éva itúva mba'e.,0
ab09bc6970153557b766096d9758d73b,Dan oguapy ikupépe ha upe aja Bill oguapy tendondepeguápe ha'e ipya'eve rupi.,Dan oguapy ikupépe ha upe aja Bill oguapy tendondepeguápe Dan ipya'eve rupi.,0
6dd33943a1bbcc81a5328e858d0eaa73,Aguara oike pyharekue ha ho'use ryguasukuéra. Iñangekoipa hikuái.,Aguarakuéra ipochypa.,0
635143e4ecc1aeb48efef6aad919555e,Aguenohẽ yryru che vokógui aguereko hag̃ua cheykereve.,Aguenohẽ yryru che vokógui aguereko hag̃ua yryru cheykereve. ,1
0ca63b11df785462f0fc28296d82ab8e,"Andrea ohasávo avioneta-pe Susan ári, ohechákuri upe pista jeguejyha.",Andrea ohechákuri pista jeguejyha.,1
8cf08e92c82530cb97ee19cd3f85e557,"Andrea ohasávo avioneta-pe Susan ári, ohechákuri upe pista jeguejyha.",Susan ohechákuri pista jeguejyha.,0
0bef651b7522aabf3e7d1d5f621760de,"Mbarakaja oha'ãrõkuri angujakuára renondépe tosẽ upe anguja, katu ipy'atarovaiterei.",Anguja ipy'atarovaiterei,0
176d41b29186082ed5ec2cd601dd4c53,"Opavavete ho'usékuri galleta avena-guigua, oĩnte sa'imi ho'uséva galleta chocolate-gui ojejapóva. Ágã ko'a rire, jajapova'erã hetavéma. ",Jajapova'erã hetavéma galleta chocolate-guigua.,0
c3673a4b516b70ce2e8daface8ab17a1,Jim ojapo seña upe mesápe oñatendévape ha ohechauka ichupe llave báño-pegua.,Jim ojapo seña upe mesápe oñatendévape ha ohechauka ichupe Jim llave báño-pegua.,0
a72c03f0a138eccbfde8e9c98185652b,"Mark opyrũ ohóvo Karai Singer pytáre. Ohendu mba'éichapa ohenói capitán-pe, ha ome'ẽ ichupe iñe'ẽ, opave upe pyharépe oñe'ẽhaichaite, ygaratápe oĩvape mba'evete ivaíva ndojehumo'ãiha, katu umíva apytépe ndoikéi vala kuéra, capitán ha hendiveguakuéra opytánte cabina ryepýpe opaite peve ojejapóva.",Ohendu mba'éichapa Karai Singer ohenóikuri capitán-pe.,1
068a55fa959b03646fab2d90e6f98563,"Jeporavo Loebner oikova'ekuépe umi juez noñemoĩri peteĩ ñe'ẽme mavaitévapa umi concursante apytépe ha'e chatbots, oñembotavyeterei rupi hikuái.",Juez kuéra oñembotavyeterei,1
c14d2c6e089fd5e172131b4c3e9d2b17,Mba'e apu'aguasu ombokua mesa ha'e rupi acero-guigua.,Mesa acero-guigua.,0
aceae5a3e05864e3ebf4b7c6066d7c88,"Upe oporombotavyséva Sam-pe ombotavýrire, ichugui oipe'aramo'ã heta viru.",Sam-gui oipe'aramo'ã heta viru..,1
9d7cd0d1353e26e62bc93beeb5274085,"Upe kuimba'e ru oporandu mboy virúpa odeve ñemuhãme, upéva ndive omoĩva tembi'uapoha róga repy. Oipe'a upe kuimba'e rembiapo repýgui, ha ome'ẽ ichupe peteĩ cheque.  ",Pe kuimba'e oipe'a odevéva kuimba'e rembiapo repýgui.,0
d23d74ec462a03745414d4408e145c2a,Kirilov oheja tetã ñeisãmbyhy Shatov-pe sa'ive ojehayhurupi.,Kirilov sa'ive ojehayhu.,1
623b35aa4d1a64bb23ada9aa1285fbab,John omomba'apo Bill-pe oñangareko haguã hese.,John omomba'apo Bill-pe oñangareko haguã Bill rehe. ,0
da0834ae76fcf3121ff2d453936a5f6c,"Fred añóntema kuimba'e oikovéva imandu'áva che túva rehe yma imitãramoguare. Fred ohecha ñepyrũramoguare che rúpe, oguerekova'ekue 12 jasy.","Fred ohecha ñepyrũramoguare che rúpe, che ru oguerekova'ekue 12 jasy.",1
d704c7db02332fee664783d64f3325de,Bod oha'ã baraja Adam ndive ha oganákuri ohóvo. Adam nda'ipo'áirire upe árape operde mo'ãkuri.,Bod operde mo'ãkuri.,0
590e95c1f47226cffb0ecb555c897673,Mary omoñeno imemby Anne-pe. ha'e ikatu haguãicha omba'apo.,"Mary omoñeno imemby Anne-pe, Mary ikatu haguãicha omba'apo.",1
f68250bb316493d862cb7526fd2c0a63,James ojerure Robert-pe oipytyvõmi haguã ichupe ha he'i ndojaposéiha.,Robert noipytyvõséi.,1
704efe119311ebe30c0fa7caeb7b3755,"Tape ohóva ypa peve oso, ha upéva rehe ndaikatúi roho upérupi.",Ndaikatúi roiporu tape.,1
b7a7906e3939d36a0cbf0a0c1db7d6a2,"Añeha'ãkuri amoha'ãnga yvyra kuéra hi'áva, limón hi'áva hakãre, katu uvei ojoguave foco-pe. ",Umi limón ojoguave foco-pe.,1
a8af31ae40ed6d90bfedef82002f188b,Dan ojoko Bill-pe anivéma haguã oñemboharái upe guyra hasymíva rehe. Ha'e oporombyasykuaa.,Dan oporombyasykuaa.,1
84f886dd7c9b3d8be3b2c968a92d1721,Aiporu peteĩ trapo tuja amopotĩ haguã kyse ha upe rire amombo ytýpe.,Amombo trapo ytýpe.,1
c333926b7d1c64cdcb13c3e83e8ee60e,"Chavurro oipota okañy upe kytã oĩva ipy ikupepegua rehe, ha upéicha oiko.","Chavurro oipota okañy upe kytã oĩva ipy ikupepegua rehe, ha upe kytã okañy.",1
dfd3b74cd2d00a51026b729eed13c970,"Papa bosa oĩkuri harina bosa guýpe, upéva rehe ojeipe'arãemanteva'erã", Ojeipe'arãemanteva'erã papa bosa.,0
2e727917f1bb8ee0543e6b785aca85a2,Tuvakuéra iderécho ita'yrakuéra omba'apóvo ichupekuéra g̃uarã omboty peve 21 ary.,Tuvakuéra iderécho ita'yrakuéra omba'apóvo ichupekuéra g̃uarã ita'yrakuéra omboty peve 21 ary.,1
8a4bdb7715f22c29d374ec84ead9a9b0,"Temimbo'ekuéra tuichavémava orairõ umi imitãvévape, upéva rehe roho roipytyvõ haguã ichupekuéra.",Roho roipytyvõ umi temimbo'e imitãvévape.,1
fd466307b046d28701aa9c800b8dfd57,"Ko pyharevépe, Joey omopu'ãkuri peteĩ castillo yvýgui playa-pe ha omoĩ peteĩ poyvi'i torre ijyvatevévape, katu ka'aru g̃uarã oitýma yvytu.",Ka'aru g̃uarã oitýma yvytu upe poyvi'i.,1
d86d38ad3acfc6fca09140f60e437101,Ann imembýkuri peteĩ mitãkuña jasy ohasava'ekuépe. Peteĩ mitãkuña ndejukýva.,Ann memby ha'e peteĩ mitãkuña ijukýva.,1
3884239cd720c5b52f2c3e9a86f1cc2a,"Grant heta ñeha'ãme oñotỹ garbanzo ho'u haguã hogayguakuéra ndive og̃uahẽ vove ára ro'y. Iñangirũ Henry, ome'ẽ ichupe oñongatu haguã galpon-pe ha upépe ta'ipiru. Upe rire, ha'e ha Tatyana ojykýita ha ojapo chugui hembi'urã arateĩ jave. ","Upe rire, ha'e ha Tatyana ojykýita ha ojapo chugui hembi'urã arateĩ jave, ha'e ha Tatyana-pe g̃uarã",1
4d7ec43f8e4d5a3b509e9287839e3b9a,"Ko aranduka omoĩnge Shakespeare-pe Ovidio remimo'ãme, ojeiporavoporã ko'ã hembiapokue.",Ojeiporavoporã ko'ã hembiapokue Ovidio jehaipyrãme.,1
55064f4112254ea2fd0490b39261e346,Sam Goodman ojapova'ekue general espartaygua Jenofonte rekoveasakue ohechauka mba'eichaitépa heta iñapañuãi ojapo hag̃ua hesegua tembikuaareka.,Sam Goodman ojapova'ekue general espartaygua Jenofonte rekoveasakue ohechauka mba'eichaitépa heta iñapañuãi ojapo hag̃ua Jenofonte tembikuaareka.,0
00553706b7ea76d844995b34945ad2b4,"Jackson omomba'eguasueterei Arnold-pe, jepémo heñói 200 ary upe riréma. ",Arnold heñói 200 ary upe riréma.,0
9fdd30833b9725f7cae743961f0e1197,Joe ovendékuri hóga tuja ha ojogua peteĩ ipyahúva namombyryiete upégui. Ohóta upégui ágã arapópe.,Ohótama óga pyahúgui arapópe.,0
16e56cc6187ffa7ccfb22e7828cb3671,Joan omboaguyje Susan-pe hetaite oipytyvõ rehe ichupe.,Joan oaguyjeme'ẽ Susan-pe opaite ñepytyvõ Joan-pe oñeme'ẽva'ekue rehe.,1
a683d445d68183fd79b5e2fdfbdc1d2d,"Larry, mitãrusu itĩndymíva, oiko isy viuda ndive peteĩ óga social Brooklyn-pe. Larry túva, omyakãva'ekue mondaha aty, ojejuka peteĩ ñoa'ãhápe; itúva remimbo'ekue, Antonio, oñangareko Larry rehe ha ombo'e ichupe omba'apo haguã droga rehe. ","Upe túva remimbo'e, Antonio, oguereko Larry-pe hendive ha ombo'e Antonio-pe ovende hag̃ua droga.",1
3da6d7e156735e1af26a7750ba05d6eb,"Bob opaga Charlie rehe oñemoarandu haguã mbo'ehaovusúpe, katu ko'ágã Charlie oiko mba'eve'ỹrõguáicha. Ndohechakuaáiete upe ojejapova'ekue hese.",Bob ndoaguyjeme'ẽi araka'eve.,0
46e15cd952c57054d484ca0d604f4bab,"Adam ndaikatúi osẽ imba'apohágui Bob og̃uahẽ meve opyta hag̃ua hendaguépe. Bob osẽ voive guive hógagui, ko'ágã og̃uahẽmaramo'ã.",Ko'ág̃a Adam og̃uahẽmaramo'ã.,0
1360c07c0b30b4820182d3ac964bb5fd,"Fred añóntema kuimba'e oikovéva imandu'áva che túva rehe yma imitãramoguare. Fred ohecha ñepyrũramoguare che rúpe, oguerekova'ekue pakõi ary.","Fred ohecha ñepyrũvo che túvape, Fred oguereko kuri pakõi ary.",1
a4e4248a34a1fe763b8af47a39658aea,Hetáma oĩ omoñe'ẽva Paul aranduka ha ndaikatuvéi oheja hikuái. Ojehecharamo Paul ohaiporãiterei rupi.,Paul arandukakuéra herakuãguasu Paul ohaiporã añetete rupive.,1
1fe899eb4e712dbc5a155083cc262f2c,"Jeporavo Loebner oikova'ekuépe umi juez noñemoĩri peteĩ ñe'ẽme mavaitévapa umi concursante apytépe ha'e chatbots, oñembotavyeterei rupi hikuái.",Umi chatbots ivyrorasáma.,0
9dca8b242c25cc670aba8539289756a1,"Ahecha Jim osapukái peteĩ kuimba'e ijao militar ha tuicha hendyva pytãvape, ha'etévaicha oñembyasyetereíva.","Ndaikuaái mávapa pe karai oguerekóva uniforme, hákatu ha'ete ndovy'áiva.",1
d4024ab60c927c0dffbd12eed1385b58,John ndaikatúi ohecha escenario Bill oñemoĩramo henonderã ha'e ikarape'eterei rupi.,Billy ikaraperasántema.,0
-*-,"Abogado oporandu upe testigo-pe, katu nombohováiri ichupe.",Upe abogado nombohovaiséi.,0
9e582fa767c990841ed583d9d6dbf7a7,Joan omboaguyje Susan-pe hetaite oipytyvõ rehe ichupe.,Joan oaguyjeveme'ẽ Susan-pe opaite ñepytyvõ Susan-pe oñeme'ẽva'ekue rehe.,0
b334c3a313b3eaf5a6fc669ee94f52b8,"Mark imandu'a Blaze rehentevoi, ikavaju morotĩ. Okyhyje umi Burlington Stables kavaju rógape oñangarekóvagui ani ojahéi hese hekomirĩmi rupi,  upéva rehe ha'etevoi omongaru ha oñangareko hese.  ",Mark ha'etévoi omongaru ha oñatende pe mymba rehe.,1
830239e73c4d70c2973ba73fafdf3e87,"Tatyana oguerahína mokoĩ mbaraka ha peteĩ vosa, ha upéicharõ jepe imandu'a Freeman kuéra rehe: Iporãite piko che sy ouhaguére hikuái! ","”¡Ajépa iporã umi mokõi mbaraka ha pe vosa ovendére, che sy!”",0
0393788a1b4ce1a5f14e78a35d4b0415,Tom omombo ivoko Ray-pe oguejypávo ohóvo escalera.,Ray og̃uahẽ upe jupiha karapevehápe.,1
7c6ea847c534e4e10313d48c3325e862,Bod oha'ã baraja Adam ndive ha oganákuri ohóvo. Adam nda'ipo'ái rire upe árape operde mo'ãkuri.,Adam ohundíma.,1
cf21724c5948a9e451306c5aa6e6dc9a,"Añembyatyva'erã ágã 16:00 aravo jave ha upeva'erã ajupíta tren ohasáva 16:30 aravópe ha upévare mbykypaite chearavo. Iporãveha, mbykymínte ha osẽ porãmbaite.",Upe aty sapy'ami oiko ha osẽporãmba.,1
2427a2df7b0f5e89059f8acfc592f349,"Sid omombe'u hemimo'ã Mark-pe, katu nahesakãi ichupe.",Sid noikumbýi chupe.,0
c2dea8cf7a15e6faa740d65e1b4a78d2,Mesa nda'ijamo'ãi okẽrupi ipeterei rupi.,Upe mesa ipetereíma.,1
aac25855debc3d5c35f89d42d763f7b6,Sara oiporu aranduka arandukarendágui oikotevẽ rupi ohai hag̃ua peteĩ artículo omba'apovahína hese. Ohai hógape og̃uahẽ rire imba'apohágui.,Ehai upe artículo eg̃uahẽvo nde rógape ne mba'apohágui.,1
c0e8d906753a5d7c3613bc9a2991c1a7,Jane ome'ẽ mba'ehe'ẽ Joan-pe naiñembyahýi rupi.,Joan nda'ivare'ái.,0
0c6d8c7c4f2fe0c54550a60a96396fb3,"Andrea ohasávo avioneta-pe Susan ári, ohechákuri upe aviõ rueda ojeguejyha.",Susan ohecha upe aviõ rueda ojeguejyha.,1
f590311c2c6c72b48ee9fae1e4af1841,"Rohókuri ypápe, ojehecha rupi peteĩ tiburón océano playa-pe, ha naiporãivoi ojeyta hag̃ua upépe.",Pe océano rembe'y ybyku'i oĩha ijetu'u eyta hag̃ua.,1
3ed24c6d9a2e23532919a258ff5a33b1,Steve akóinte oguereko Fred-pe techapyrãramo. Ohecharamoiterei ichupe.,Steve ohecharamo ichupe.,1
6ad6474f50bde6fde713de48255a0489,Ta'ãnga ho'a upe hendágui noñemoĩporãi rupi.,Upe ta'ãnga noñembo'yporãi.,0
