sentence1,sentence2,label
John oñemoaranduhínakuri arandukakotýpe ha upeichaháguinte ohendu oñe'ẽguyguy ha oturuñe'ẽva. Ombopochyete ichupe upéva.,Upe kuimba'e ipochyetereikuri.,not_entailment
"Jackson omomba'eguasueterei Arnold-pe, jepémo heñóikuri 200 ary upe riréma. ",Jackson oikove 200 ary uperiréma.,entailment
Upe túva oguerahákuri ita'ýrape coche'ípe oke aja,Upe túva oguerahákuri ita'ýrape oke aja coche'ípe ha'éva itúva mba'e.,not_entailment
Dan oguapy ikupépe ha upe aja Bill oguapy tendondepeguápe ha'e ipya'eve rupi.,Dan oguapy ikupépe ha upe aja Bill oguapy tendondepeguápe Dan ipya'eve rupi.,not_entailment
Aguara oike pyharekue ha ho'use ryguasukuéra. Iñangekoipa hikuái.,Aguarakuéra ipochypa.,not_entailment
Aguenohẽ yryru che vokógui aguereko hag̃ua cheykereve.,Aguenohẽ yryru che vokógui aguereko hag̃ua yryru cheykereve. ,entailment
"Andrea ohasávo avioneta-pe Susan ári, ohechákuri upe pista jeguejyha.",Andrea ohechákuri pista jeguejyha.,entailment
"Andrea ohasávo avioneta-pe Susan ári, ohechákuri upe pista jeguejyha.",Susan ohechákuri pista jeguejyha.,not_entailment
"Mbarakaja oha'ãrõkuri angujakuára renondépe tosẽ upe anguja, katu ipy'atarovaiterei.",Anguja ipy'atarovaiterei,not_entailment
"Opavavete ho'usékuri galleta avena-guigua, oĩnte sa'imi ho'uséva galleta chocolate-gui ojejapóva. Ágã ko'a rire, jajapova'erã hetavéma. ",Jajapova'erã hetavéma galleta chocolate-guigua.,not_entailment
Jim ojapo seña upe mesápe oñatendévape ha ohechauka ichupe llave báño-pegua.,Jim ojapo seña upe mesápe oñatendévape ha ohechauka ichupe Jim llave báño-pegua.,not_entailment
"Mark opyrũ ohóvo Karai Singer pytáre. Ohendu mba'éichapa ohenói capitán-pe, ha ome'ẽ ichupe iñe'ẽ, opave upe pyharépe oñe'ẽhaichaite, ygaratápe oĩvape mba'evete ivaíva ndojehumo'ãiha, katu umíva apytépe ndoikéi vala kuéra, capitán ha hendiveguakuéra opytánte cabina ryepýpe opaite peve ojejapóva.",Ohendu mba'éichapa Karai Singer ohenóikuri capitán-pe.,entailment
"Jeporavo Loebner oikova'ekuépe umi juez noñemoĩri peteĩ ñe'ẽme mavaitévapa umi concursante apytépe ha'e chatbots, oñembotavyeterei rupi hikuái.",Juez kuéra oñembotavyeterei,entailment
Mba'e apu'aguasu ombokua mesa ha'e rupi acero-guigua.,Mesa acero-guigua.,not_entailment
"Upe oporombotavyséva Sam-pe ombotavýrire, ichugui oipe'aramo'ã heta viru.",Sam-gui oipe'aramo'ã heta viru..,entailment
"Upe kuimba'e ru oporandu mboy virúpa odeve ñemuhãme, upéva ndive omoĩva tembi'uapoha róga repy. Oipe'a upe kuimba'e rembiapo repýgui, ha ome'ẽ ichupe peteĩ cheque.  ",Pe kuimba'e oipe'a odevéva kuimba'e rembiapo repýgui.,not_entailment
Kirilov oheja tetã ñeisãmbyhy Shatov-pe sa'ive ojehayhurupi.,Kirilov sa'ive ojehayhu.,entailment
John omomba'apo Bill-pe oñangareko haguã hese.,John omomba'apo Bill-pe oñangareko haguã Bill rehe. ,not_entailment
"Fred añóntema kuimba'e oikovéva imandu'áva che túva rehe yma imitãramoguare. Fred ohecha ñepyrũramoguare che rúpe, oguerekova'ekue 12 jasy.","Fred ohecha ñepyrũramoguare che rúpe, che ru oguerekova'ekue 12 jasy.",entailment
Bod oha'ã baraja Adam ndive ha oganákuri ohóvo. Adam nda'ipo'áirire upe árape operde mo'ãkuri.,Bod operde mo'ãkuri.,not_entailment
Mary omoñeno imemby Anne-pe. ha'e ikatu haguãicha omba'apo.,"Mary omoñeno imemby Anne-pe, Mary ikatu haguãicha omba'apo.",entailment
James ojerure Robert-pe oipytyvõmi haguã ichupe ha he'i ndojaposéiha.,Robert noipytyvõséi.,entailment
"Tape ohóva ypa peve oso, ha upéva rehe ndaikatúi roho upérupi.",Ndaikatúi roiporu tape.,entailment
"Añeha'ãkuri amoha'ãnga yvyra kuéra hi'áva, limón hi'áva hakãre, katu uvei ojoguave foco-pe. ",Umi limón ojoguave foco-pe.,entailment
Dan ojoko Bill-pe anivéma haguã oñemboharái upe guyra hasymíva rehe. Ha'e oporombyasykuaa.,Dan oporombyasykuaa.,entailment
Aiporu peteĩ trapo tuja amopotĩ haguã kyse ha upe rire amombo ytýpe.,Amombo trapo ytýpe.,entailment
"Chavurro oipota okañy upe kytã oĩva ipy ikupepegua rehe, ha upéicha oiko.","Chavurro oipota okañy upe kytã oĩva ipy ikupepegua rehe, ha upe kytã okañy.",entailment
"Papa bosa oĩkuri harina bosa guýpe, upéva rehe ojeipe'arãemanteva'erã", Ojeipe'arãemanteva'erã papa bosa.,not_entailment
Tuvakuéra iderécho ita'yrakuéra omba'apóvo ichupekuéra g̃uarã omboty peve 21 ary.,Tuvakuéra iderécho ita'yrakuéra omba'apóvo ichupekuéra g̃uarã ita'yrakuéra omboty peve 21 ary.,entailment
"Temimbo'ekuéra tuichavémava orairõ umi imitãvévape, upéva rehe roho roipytyvõ haguã ichupekuéra.",Roho roipytyvõ umi temimbo'e imitãvévape.,entailment
"Ko pyharevépe, Joey omopu'ãkuri peteĩ castillo yvýgui playa-pe ha omoĩ peteĩ poyvi'i torre ijyvatevévape, katu ka'aru g̃uarã oitýma yvytu.",Ka'aru g̃uarã oitýma yvytu upe poyvi'i.,entailment
Ann imembýkuri peteĩ mitãkuña jasy ohasava'ekuépe. Peteĩ mitãkuña ndejukýva.,Ann memby ha'e peteĩ mitãkuña ijukýva.,entailment
"Grant heta ñeha'ãme oñotỹ garbanzo ho'u haguã hogayguakuéra ndive og̃uahẽ vove ára ro'y. Iñangirũ Henry, ome'ẽ ichupe oñongatu haguã galpon-pe ha upépe ta'ipiru. Upe rire, ha'e ha Tatyana ojykýita ha ojapo chugui hembi'urã arateĩ jave. ","Upe rire, ha'e ha Tatyana ojykýita ha ojapo chugui hembi'urã arateĩ jave, ha'e ha Tatyana-pe g̃uarã",entailment
"Ko aranduka omoĩnge Shakespeare-pe Ovidio remimo'ãme, ojeiporavoporã ko'ã hembiapokue.",Ojeiporavoporã ko'ã hembiapokue Ovidio jehaipyrãme.,entailment
Sam Goodman ojapova'ekue general espartaygua Jenofonte rekoveasakue ohechauka mba'eichaitépa heta iñapañuãi ojapo hag̃ua hesegua tembikuaareka.,Sam Goodman ojapova'ekue general espartaygua Jenofonte rekoveasakue ohechauka mba'eichaitépa heta iñapañuãi ojapo hag̃ua Jenofonte tembikuaareka.,not_entailment
"Jackson omomba'eguasueterei Arnold-pe, jepémo heñói 200 ary upe riréma. ",Arnold heñói 200 ary upe riréma.,not_entailment
Joe ovendékuri hóga tuja ha ojogua peteĩ ipyahúva namombyryiete upégui. Ohóta upégui ágã arapópe.,Ohótama óga pyahúgui arapópe.,not_entailment
Joan omboaguyje Susan-pe hetaite oipytyvõ rehe ichupe.,Joan oaguyjeme'ẽ Susan-pe opaite ñepytyvõ Joan-pe oñeme'ẽva'ekue rehe.,entailment
"Larry, mitãrusu itĩndymíva, oiko isy viuda ndive peteĩ óga social Brooklyn-pe. Larry túva, omyakãva'ekue mondaha aty, ojejuka peteĩ ñoa'ãhápe; itúva remimbo'ekue, Antonio, oñangareko Larry rehe ha ombo'e ichupe omba'apo haguã droga rehe. ","Upe túva remimbo'e, Antonio, oguereko Larry-pe hendive ha ombo'e Antonio-pe ovende hag̃ua droga.",entailment
"Bob opaga Charlie rehe oñemoarandu haguã mbo'ehaovusúpe, katu ko'ágã Charlie oiko mba'eve'ỹrõguáicha. Ndohechakuaáiete upe ojejapova'ekue hese.",Bob ndoaguyjeme'ẽi araka'eve.,not_entailment
"Adam ndaikatúi osẽ imba'apohágui Bob og̃uahẽ meve opyta hag̃ua hendaguépe. Bob osẽ voive guive hógagui, ko'ágã og̃uahẽmaramo'ã.",Ko'ág̃a Adam og̃uahẽmaramo'ã.,not_entailment
"Fred añóntema kuimba'e oikovéva imandu'áva che túva rehe yma imitãramoguare. Fred ohecha ñepyrũramoguare che rúpe, oguerekova'ekue pakõi ary.","Fred ohecha ñepyrũvo che túvape, Fred oguereko kuri pakõi ary.",entailment
Hetáma oĩ omoñe'ẽva Paul aranduka ha ndaikatuvéi oheja hikuái. Ojehecharamo Paul ohaiporãiterei rupi.,Paul arandukakuéra herakuãguasu Paul ohaiporã añetete rupive.,entailment
"Jeporavo Loebner oikova'ekuépe umi juez noñemoĩri peteĩ ñe'ẽme mavaitévapa umi concursante apytépe ha'e chatbots, oñembotavyeterei rupi hikuái.",Umi chatbots ivyrorasáma.,not_entailment
"Ahecha Jim osapukái peteĩ kuimba'e ijao militar ha tuicha hendyva pytãvape, ha'etévaicha oñembyasyetereíva.","Ndaikuaái mávapa pe karai oguerekóva uniforme, hákatu ha'ete ndovy'áiva.",entailment
John ndaikatúi ohecha escenario Bill oñemoĩramo henonderã ha'e ikarape'eterei rupi.,Billy ikaraperasántema.,not_entailment
"Abogado oporandu upe testigo-pe, katu nombohováiri ichupe.",Upe abogado nombohovaiséi.,not_entailment
Joan omboaguyje Susan-pe hetaite oipytyvõ rehe ichupe.,Joan oaguyjeveme'ẽ Susan-pe opaite ñepytyvõ Susan-pe oñeme'ẽva'ekue rehe.,not_entailment
"Mark imandu'a Blaze rehentevoi, ikavaju morotĩ. Okyhyje umi Burlington Stables kavaju rógape oñangarekóvagui ani ojahéi hese hekomirĩmi rupi,  upéva rehe ha'etevoi omongaru ha oñangareko hese.  ",Mark ha'etévoi omongaru ha oñatende pe mymba rehe.,entailment
"Tatyana oguerahína mokoĩ mbaraka ha peteĩ vosa, ha upéicharõ jepe imandu'a Freeman kuéra rehe: Iporãite piko che sy ouhaguére hikuái! ","”¡Ajépa iporã umi mokõi mbaraka ha pe vosa ovendére, che sy!”",not_entailment
Tom omombo ivoko Ray-pe oguejypávo ohóvo escalera.,Ray og̃uahẽ upe jupiha karapevehápe.,entailment
Bod oha'ã baraja Adam ndive ha oganákuri ohóvo. Adam nda'ipo'ái rire upe árape operde mo'ãkuri.,Adam ohundíma.,entailment
"Añembyatyva'erã ágã 16:00 aravo jave ha upeva'erã ajupíta tren ohasáva 16:30 aravópe ha upévare mbykypaite chearavo. Iporãveha, mbykymínte ha osẽ porãmbaite.",Upe aty sapy'ami oiko ha osẽporãmba.,entailment
"Sid omombe'u hemimo'ã Mark-pe, katu nahesakãi ichupe.",Sid noikumbýi chupe.,not_entailment
Mesa nda'ijamo'ãi okẽrupi ipeterei rupi.,Upe mesa ipetereíma.,entailment
Sara oiporu aranduka arandukarendágui oikotevẽ rupi ohai hag̃ua peteĩ artículo omba'apovahína hese. Ohai hógape og̃uahẽ rire imba'apohágui.,Ehai upe artículo eg̃uahẽvo nde rógape ne mba'apohágui.,entailment
Jane ome'ẽ mba'ehe'ẽ Joan-pe naiñembyahýi rupi.,Joan nda'ivare'ái.,not_entailment
"Andrea ohasávo avioneta-pe Susan ári, ohechákuri upe aviõ rueda ojeguejyha.",Susan ohecha upe aviõ rueda ojeguejyha.,entailment
"Rohókuri ypápe, ojehecha rupi peteĩ tiburón océano playa-pe, ha naiporãivoi ojeyta hag̃ua upépe.",Pe océano rembe'y ybyku'i oĩha ijetu'u eyta hag̃ua.,entailment
Steve akóinte oguereko Fred-pe techapyrãramo. Ohecharamoiterei ichupe.,Steve ohecharamo ichupe.,entailment
Ta'ãnga ho'a upe hendágui noñemoĩporãi rupi.,Upe ta'ãnga noñembo'yporãi.,not_entailment
San ojapova'ekue ta'ãnga oñemosãingo upe Tina mba'e ariete ha ha'etévaicha iporãvéva ambue oñemoĩramo hi'ári.,Upe ta'ãnga Sam mba'éva ha'ete iporãvaitevéva ambue oĩre hi'ári.,not_entailment
"Rohókuri ypápe, ojehecha rupi peteĩ tiburón océano playa-pe, ha naiporãivoi ko tenda ojeyta hag̃ua.",Upe ypa ijetu'u eyta hag̃ua.,not_entailment
"Karai Schmit katuete okarupa rire oho oke areporã. Mark oheja ichupe oke 1 aravórupi ha upéi oho omombáy, oja'o ha upéi ojopy ichupe omba'apo haguã. Oikotevẽ hese tojapopa hembiapo, iporãiterei rupi hembiapokue.","Upe karai Schmidt oikotevẽkuri omohu'ã añetehápe hembiapo, péva iporã añete rupi.",not_entailment
Kamiõ ojapóva reparto ohasa mba'yruguata ogueraháva mitãnguéra mbo'ehaópe ,Upe kamiõ mba'e rerahaha oho hatãitereikuri.,entailment
Mary omoñeno imemby Anne-pe. ha'e ikatu haguãicha omba'apo.,"Mary omoñeno imemby Anne-pe, upe Mary memby omba'apokuaa hag̃ua.",not_entailment
Hetáma oĩ omoñe'ẽva Paul aranduka ha ndaikatuvéi oheja hikuái. Opyta hendive Paul ohaiporãiterei rupi.,Paul arandukaita opyta apytĩmbýpe Paul ohaiporã añetete rupive.,not_entailment
Jim osapukái Kevin-pe ipochyeterei rupi hendive.,Kevin ipochyeterei.,not_entailment
Kirilov oheja tetã ñeisãmbyhy Shatov-pe sa'ive ojehayhurupi.,Shatov sa'ive ojekuaa.,not_entailment
"Sam ohómiva oñemoarandu francés Adam ndive, ipy'aroryeterei oñe'ẽ porãhaguére.",Sam ijerovu oñe'ẽporãiterei haguére.,entailment
Umi consejal nomoneĩséi umi manifestante-pe okyhyje rupi oikórõ g̃uarã sarambi.,Umi oñembyatýva okyje ñenupãvaipágui.,not_entailment
"Bob opaga Charlie rehe oñemoarandu haguã mbo'ehaovusúpe, katu ko'ágã Charlie oiko mba'eve'ỹrõguáicha. Hasy chupe upéva.",Charlie-pe hasy oikóvare.,not_entailment
¡Emañami! Oĩ peteĩ tiburón ohasáva ype guýrupi. Tekotevẽ pya'emi oho peteĩ tenda oĩporãve hag̃uame. ,Iporãvéta pe ype ohóramo tenda iñapañuai'ỹhápe.,entailment
Bod oha'ã baraja Adam ndive ha oganákuri ohóvo. Adam nda'ipo'ái rire peichaguiete upe árape oganaramo'ãkuri.,Bob ha'ete oganáva.,entailment
"Peteĩ arahaku ka'arúpe, jagua oñenohína kapi'ipe mbytépe. Upe rire pukumi, opu'ã ha oho yvyra guýpe,  ho'ysãve rupi upépe. ",Upe yvyraguy porãme ha'ete ipiro'yvéva.,entailment
Karol oimo'ãkuri Rebecca oimbyasyha omondahaguére pe aravopapaha.,Carol orovía Rebecca oñalamentaha Carol omondáre aravopapaha.,not_entailment
Billy hasẽkuri Toby ndoipotái rupi ihugéte.,Billy hasẽ Toby ndoipotáire Billy ñembosaraiha.,entailment
Dra. Adams omombe'u Kate-pe ojehuvilamahague ha he'i ichupe mba'épa ojapokuaa tenonderãve oñepohano hag̃ua.,Kate ojejubiláma ha omog̃uahẽ chupe hetaichagua ñepohano tenonderãguápe g̃uarã.,not_entailment
"Actriz herava'ekue Terpsichore, katu ndaha'éi aretereíva oñembohéra Tina he'íre ha'e hasyetereiha oje'e hag̃ua.  ",Tina hasyeterei emoñe'ẽ hag̃ua.,not_entailment
"Tavusúpe og̃uahẽ guivéma, ohendu hikuái hyapúva ha'ete avati oñemaimbevahína. Dora oporandu mba'épa ha che ru he'i ichupe oñembokapuha.",Dora oporandu mba'épa pe táva.,not_entailment
Dra. Adams omombe'u Kate-pe oguerekoha cáncer ha he'i ichupe mba'épa ojapokuaa oñepohano hag̃ua. ,Dra. Adams oguereko cáncer ha ohechauka hetaichagua ñepohano tenondeverã.,not_entailment
"Ahecha Jim osapukái peteĩ kuimba'e ijao militar ha tuicha hendyva pytãvape. Ndaikuaái mávapa, katu ha'ete oñembyasyetereíva.","Ndaikuaái mávapa Jim, hákatu ha'ete ndovy'áiva.",not_entailment
"Tatyana og̃uahẽ ikoty'ípe, isy okehína. Oike kirĩrĩhamete ani hag̃ua omombáy ichupe, oñemboi ha ojupi hupápe.","Oike kirirĩhápe ani hag̃ua oporomombáy, oñemboi ha ojupi Tatyana rupápe.",entailment
Jim ojapo seña bar-pe oñatendévape ha ohechauka ichupe ivaso inandiha.,Jim ojepoupi camarérope ha ohechauka pe Jim kagua inandiha.,entailment
Pete ,Pete ikatupyryrasa.,entailment
"George oguereko entrada reínte jeike haguã ñoa'ãngahápe, katu ome'ẽ Eric-pe, jepémo ha'e avei ohechasékuri.",George ohechasetereíma chupe.,entailment
